model,term,coef_logit,std_err,p_value,ci_low,ci_high,nobs,note
logit_robustness,C(cause_code)[T.Cause15],-1.8608567506383111,0.639515264130133,0.003616687288429889,-3.114283635896992,-0.6074298653796304,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause16],-0.2130343696608788,0.739507503333197,0.7732885571274152,-1.6624424424910789,1.2363737031693214,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause17],-1.1249232251101333,0.4999641609984397,0.02444845485540878,-2.1048349742278605,-0.14501147599240638,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause18],-1.4128781330675275,0.7472570377576723,0.058657386917355704,-2.8774750142666523,0.05171874813159749,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.Cause19],0.006221674207684889,0.6033416461226064,0.9917723401890893,-1.1763062225657341,1.1887495709811038,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(cause_code)[T.CauseOther],0.45817785498740654,0.18682096317515715,0.014186855550315082,0.09201549560701483,0.8243402143677983,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.ICO]",1.9241280516512955,0.5317228251794428,0.0002961239289134933,0.8819704645417001,2.966285638760891,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.Investment]",1.0881087790687296,0.11869024563546218,4.8351269927875295e-20,0.8554801723070113,1.3207373858304479,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.Mining]",0.30185334678486403,0.17298266456405792,0.08098628066255481,-0.037186445710462535,0.6408931392801906,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.OtherCivil]",-0.8679467630634901,,,,,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.OtherUnclassified]",-0.4386663418746,0.3284143017030978,0.18164400492974686,-1.0823465452205432,0.2050138614713431,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.TechService]",-0.9488636124707795,0.33491986258900613,0.004609803653001555,-1.6052944808523355,-0.2924327440892237,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,"C(transaction_code, Treatment(reference='Lending'))[T.Trading]",0.7731946471533718,0.17231100324097193,7.216392217680642e-06,0.4354712866611023,1.1109180076456413,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(region_macro_code)[T.East],-0.17053609097890243,0.11408686703900593,0.13496883821388883,-0.39414224148436383,0.053070059526558994,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(region_macro_code)[T.Northeast],-0.5712342944009193,0.14038192920932593,4.718616477361451e-05,-0.8463778197314495,-0.29609076907038906,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(region_macro_code)[T.Unmapped],-0.11892773202206651,2.0070115208296522e+17,1.0,-3.933670297383079e+17,3.933670297383079e+17,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,C(region_macro_code)[T.West],-0.09943016784116775,0.10545097607407389,0.34572990834393746,-0.3061102830809475,0.107249947398612,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,post2021,0.3952179770647576,0.06452036677745464,9.041273348130974e-10,0.2687603819116319,0.5216755722178833,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,amount_log,-0.03303911118288271,0.02482235356973917,0.18318160656993754,-0.08169003019109072,0.015611807825325306,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,amount_llm_regex_conflict_flag,-0.4020968481616187,0.18916737886414164,0.03353540443483699,-0.7728580977851798,-0.031335598538057674,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
logit_robustness,post2021_avg_predicted_probability_difference,0.0800855922440226,,,,,5166,Logit非线性模型稳健性；报告post2021平均预测概率差。
