model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,C(cause_group)[T.侵害录音录像制作者权纠纷],-1.7911558107013e-14,3.844331572226996e-15,3.1742123359891435e-06,-2.5446309533208154e-14,-1.0376806680817845e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵害计算机软件著作权纠纷],3.789109347188849e-14,7.663215554898027e-15,7.63229682459193e-07,2.2871466978521235e-14,5.2910719965255746e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵权责任纠纷],0.30989272727322564,0.15990208449662577,0.052621324636831404,-0.003509599393041407,0.6232950539394927,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵犯公民个人信息罪],-3.5615197595646937e-14,7.222540396722804e-15,8.176040324767513e-07,-4.9771116650109265e-14,-2.145927854118461e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵犯著作权罪],-7.274521920653876e-16,3.1060599864625553e-16,0.01917857347821026,-1.3362287627941452e-15,-1.1867562133662993e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.保管合同纠纷],-0.05982018109551584,0.22133515198800557,0.7869527881338944,-0.49362910750470573,0.37398874531367404,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.保证合同纠纷],0.3556106882247359,0.10389816194581299,0.0006200587035570645,0.15197403275103247,0.5592473436984393,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.保险代理合同纠纷],0.6684020165099659,0.01341737245128542,0.0,0.6421044497382866,0.6946995832816452,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.信息网络买卖合同纠纷],-0.09046065704061755,0.09473090360884821,0.3396169666017722,-0.2761298163368955,0.09520850225566037,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.信用卡纠纷],-0.32176281296117704,0.024011828848750225,6.031722369265633e-41,-0.36882513270766737,-0.2747004932146867,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.信用卡诈骗罪],-7.760660741656828e-15,1.654486719828363e-15,2.7230420807811878e-06,-1.100339512542023e-14,-4.517926357893426e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.修理合同纠纷],-0.3633888579293623,0.016192835718021437,1.5550466194289393e-111,-0.3951262327442581,-0.3316514831144665,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.借款合同纠纷],0.09948333811224781,0.1134241490583071,0.3804370317543212,-0.1228239090191368,0.3217905852436324,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.借用合同纠纷],-0.31021645950285776,0.018242044295815232,7.466846513717834e-65,-0.3459702093270399,-0.2744627096786756,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.债券质权纠纷],0.41606572581088924,0.34596587886833247,0.229123135362029,-0.2620149366507894,1.094146388272568,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.债务加入纠纷],-0.3344630292787855,0.013125124032622199,3.069300469006591e-143,-0.36018779967534614,-0.3087382588822249,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.债务转移合同纠纷],-0.32927577183679557,0.013730157231178087,4.292294594930871e-127,-0.3561863855119768,-0.30236515816161436,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.债权人撤销权纠纷],0.35437994030719444,0.26491230543284894,0.18098594256525347,-0.16483863740266402,0.8735985180170529,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.债权转让合同纠纷],0.1438376325994796,0.16189319852567946,0.37428671581301776,-0.1734672058528451,0.4611424710518043,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.假冒注册商标罪],-3.2787320317060734e-15,8.518270992798092e-16,0.00011857286348944899,-4.948282467349724e-15,-1.6091815960624222e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.偷越国（边）境罪],9.983471207943737e-15,2.0142871970437335e-15,7.183732135823554e-07,6.035540847217883e-15,1.393140156866959e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.储蓄存款合同纠纷],-0.08607049321159707,0.041832544178823663,0.03963807782243466,-0.16806077318377216,-0.004080213239421995,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.公司减资纠纷],7.48530477515126e-15,1.6039915347286922e-15,3.0611518438126785e-06,4.341539135575895e-15,1.0629070414726624e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.公司解散纠纷],-1.73905083891912e-15,3.331669232695437e-16,1.7915671093586074e-07,-2.3920460093674454e-15,-1.0860556684707946e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.公安行政管理],-9.852618776175785e-17,1.247941311931987e-16,0.4298141126769689,-3.4311819038239384e-16,1.4606581485887815e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.公益事业捐赠合同纠纷],-0.31471721583059004,0.017324195106561406,9.535063541884979e-74,-0.3486720143005954,-0.28076241736058466,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.共有物分割纠纷],1.7375042976214926e-14,3.668170334691654e-15,2.172203560618883e-06,1.0185561231061049e-14,2.4564524721368804e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.共有纠纷],-0.3454772647044277,0.013054453135648845,2.4965157670797547e-154,-0.3710635226881654,-0.31989100672069,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.其他案由],4.06264912907432e-14,8.373641226268168e-15,1.2240059699499364e-06,2.4214456067797777e-14,5.703852651368863e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.其他行政行为],-1.5601957335661396e-14,3.2254359115368795e-15,1.3170581324849342e-06,-2.1923695556715802e-14,-9.280219114606993e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.再保险合同纠纷],-0.33737383670011356,0.01294079349978491,7.865154371840046e-150,-0.362737325891062,-0.3120103475091651,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.出售、购买、运输假币罪],6.210183219906652e-14,1.2768930917112303e-14,1.1532178584030738e-06,3.70751874804464e-14,8.712847691768664e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.分家析产纠纷],-3.462754511666202e-15,8.23444962008926e-16,2.608461213533127e-05,-5.07667698045465e-15,-1.848832042877754e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.分期付款买卖合同纠纷],-0.33960121043838953,0.012879500321212975,3.227195350748959e-153,-0.364844567206839,-0.31435785366994007,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.制作、复制、出版、贩卖、传播淫秽物品牟利罪],-3.523844951262485e-15,7.17149477698524e-16,8.938138210990607e-07,-4.929432099083303e-15,-2.1182578034416674e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.制作、贩卖、传播淫秽物品罪],4.877356804216276e-15,9.615290992903707e-16,3.926221739039137e-07,2.9927943995199117e-15,6.76191920891264e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
